StationID,Region,Year,Date,TempMax(°C),TempMin(°C),Precipitation(mm),WindSpeed(km/h),Humidity(%),AirPressure(hPa),SolarRadiation(kWh/m²),CO2(ppm),SatelliteImageryIndex,WeatherStationScore,SensorReliabilityIndex,Rainfall(mm)
STN003,Asia,2005,2/7/2005,33.2,13.8,924.3,17.4,75.7,995.2,1208.5,394.9,0.59,95.4,0.89,227.32
STN001,North America,2005,10/4/2005,36,16.5,212.8,13.7,42.1,998.5,1631.5,403.4,0.77,80.1,0.7,11.94
STN004,Africa,2005,8/4/2005,38.1,11.5,399.5,19.4,57.2,1019.2,1874.7,414.3,0.72,90.8,0.93,60.56
STN003,Asia,2005,8/4/2005,32.9,19.6,360.3,12.8,70.7,1019.8,2253.3,403.8,0.51,82.4,0.9,145.19
STN002,Europe,2005,8/4/2005,28.9,19.8,506.1,15.8,71.9,1022.5,1811.7,404.4,0.91,89.8,0.85,225.38
STN002,Europe,2005,10/3/2005,34.2,20.2,1196.4,5.7,69.3,1008,1606,389,0.97,96.2,0.89,169.24
STN004,Africa,2005,10/3/2005,38.1,11.5,399.5,19.4,57.2,1019.2,1874.7,414.3,0.72,90.8,0.93,135.11
STN003,Asia,2005,10/3/2005,27.1,7.5,625.8,12.8,44.8,997.4,1696.9,393.1,0.85,99.7,0.76,155.53
STN004,Africa,2005,10/3/2005,32.3,5.8,892.9,13.6,41.7,1001.2,1788.5,388.5,0.66,99.4,0.95,235.7
STN004,Africa,2005,9/11/2005,32.3,5.8,892.9,13.6,41.7,1001.2,1788.5,388.5,0.66,99.4,0.95,49.56
STN001,North America,2005,3/6/2005,43.1,20.5,582.8,15.7,46.6,992.3,1371,398.5,0.54,81,0.97,82.52
STN003,Asia,2005,9/11/2005,25.5,11.1,896.4,19.8,56.7,995.1,2454.4,402.7,0.8,98.9,0.91,89.24
STN002,Europe,2005,6/3/2005,24.3,5.6,604.3,19.6,52.7,1012.2,1038,384.4,0.59,90.2,0.75,67.67
STN004,Africa,2005,5/6/2005,38.1,11.5,399.5,19.4,57.2,1019.2,1874.7,414.3,0.72,90.8,0.93,130.79
STN003,Asia,2005,5/6/2005,43.7,9.7,609.4,17.1,50.1,993.9,2192.8,387.9,0.52,87.3,0.89,56.9
STN003,Asia,2005,2/1/2005,33.2,13.8,924.3,17.4,75.7,995.2,1208.5,394.9,0.59,95.4,0.89,222.12
STN003,Asia,2005,6/10/2005,41.4,17.8,462.4,15.3,54,1005.7,1868.4,390.6,0.52,86.4,0.75,104.89
STN001,North America,2005,6/10/2005,21.7,7.7,944.6,17.7,45,1020.3,1723.3,385.1,0.65,96.1,0.92,240.03
STN004,Africa,2005,4/12/2005,34.6,10.9,224.2,14.7,50.6,1005.8,2341.4,396,0.9,90.1,0.82,27.4
STN001,North America,2006,4/12/2006,20.1,6.3,486.4,11.4,75.1,991.4,2206.1,403.6,0.56,96.1,0.89,96.04
STN002,Europe,2006,6/5/2006,20.2,12.5,1006,19.8,52,991.2,1875.2,386.7,0.98,92.5,0.89,105.58
STN002,Europe,2006,6/5/2006,24.3,5.6,604.3,19.6,52.7,1012.2,1038,384.4,0.59,90.2,0.75,105.44
STN004,Africa,2006,1/6/2006,32.8,9.3,377.1,6.8,68.9,996.8,1137.3,389.5,0.93,92.8,0.76,122.69
STN002,Europe,2006,1/6/2006,20.7,24,255.3,9.4,46,1001.7,1656.2,391.5,0.52,81.5,0.77,221.19
STN001,North America,2006,10/5/2006,36.5,24.7,354.4,13.2,47.5,991.9,1266.3,386.3,0.81,80.6,0.8,74.2
STN004,Africa,2006,3/1/2006,30.7,17.8,800.1,10.8,40.5,985.8,1991.6,397.5,0.96,86.5,0.77,107.08
STN002,Europe,2006,12/10/2006,26.8,9,707.8,7.4,69.6,995.1,1371.7,393.7,0.83,88.5,0.7,49.83
STN002,Europe,2006,3/1/2006,20.2,12.5,1006,19.8,52,991.2,1875.2,386.7,0.98,92.5,0.89,25.27
STN003,Asia,2006,12/10/2006,32.9,19.6,360.3,12.8,70.7,1019.8,2253.3,403.8,0.51,82.4,0.9,43.12
STN002,Europe,2006,3/1/2006,44.6,17.7,761.2,10.1,52.7,1008.2,1735.2,388.2,0.57,92.7,0.73,116.04
STN004,Africa,2006,12/1/2006,32.2,6.4,881.8,19.6,56.4,1007.3,1963.2,406.6,0.95,82.2,0.97,164.89
STN002,Europe,2006,12/1/2006,44.6,17.7,761.2,10.1,52.7,1008.2,1735.2,388.2,0.57,92.7,0.73,242.03
STN003,Asia,2006,12/1/2006,21.4,18.9,828.5,10,52.4,993,2058.6,408,0.89,98.2,0.94,231.17
STN004,Africa,2006,12/10/2006,34.8,14,363.3,10.8,74.4,1015.3,1468.1,411,0.56,94.6,0.75,228.03
STN003,Asia,2006,3/1/2006,20.6,14,363.2,7.8,73.5,995.1,1406.1,402,0.57,92.2,0.99,94.4
STN002,Europe,2006,12/10/2006,44.6,17.7,761.2,10.1,52.7,1008.2,1735.2,388.2,0.57,92.7,0.73,204.12
STN002,Europe,2006,3/1/2006,23.3,18.4,499.7,11.5,43.1,980.1,1376.7,389.2,0.75,97.9,0.73,141.05
STN003,Asia,2006,12/10/2006,33.8,13.7,434.5,18.8,42.8,1014.6,1481,411.9,0.68,84.8,0.89,91.71
STN003,Asia,2006,7/5/2006,23.3,6.8,865,7,63.1,992.1,1686.1,397.5,0.65,86.3,0.98,164.42
STN001,North America,2006,3/1/2006,21.7,7.7,944.6,17.7,45,1020.3,1723.3,385.1,0.65,96.1,0.92,0.68
STN003,Asia,2006,7/5/2006,32.3,22.8,759.6,9.9,57.2,993.4,1172.2,388.3,0.98,88.3,0.86,143.88
STN001,North America,2006,7/5/2006,28.7,20.9,277.3,6.1,49.9,1004.6,2002.6,407.2,0.92,95.2,0.85,31.6
STN004,Africa,2006,7/5/2006,32.3,5.8,892.9,13.6,41.7,1001.2,1788.5,388.5,0.66,99.4,0.95,86.66
STN002,Europe,2006,7/5/2006,20.2,12.5,1006,19.8,52,991.2,1875.2,386.7,0.98,92.5,0.89,122.77
STN004,Africa,2006,6/10/2006,38.1,11.5,399.5,19.4,57.2,1019.2,1874.7,414.3,0.72,90.8,0.93,6.67
STN001,North America,2006,6/10/2006,34.5,20,334,12.6,43.3,1000.6,2307.1,392.2,0.5,82.9,0.87,218.91
STN001,North America,2006,6/4/2006,30.9,22.9,479.1,13.5,58.8,1001,1347.9,399.5,0.63,84.6,0.88,178.82
STN002,Europe,2006,6/10/2006,44.5,18.7,868.2,9.5,44.8,1007.7,1848.4,419.8,0.64,85,0.87,12.96
STN004,Africa,2006,12/7/2006,37,24,294.9,12.4,62.6,980.9,2158.9,395.2,0.86,84.8,0.92,117.86
STN002,Europe,2006,4/4/2006,44.5,18.7,868.2,9.5,44.8,1007.7,1848.4,419.8,0.64,85,0.87,121.82
STN002,Europe,2006,6/10/2006,30.5,22.1,912.7,18.1,53.5,998.1,1032.2,383.7,0.54,95.2,0.71,162.17
STN001,North America,2006,10/5/2006,43.1,20.5,582.8,15.7,46.6,992.3,1371,398.5,0.54,81,0.97,238.64
STN001,North America,2006,NA,42.8,17.4,1140.4,10.2,59.5,1020.4,2132.9,397.1,0.8,97.7,0.71,236.38
STN003,Asia,2006,10/5/2006,41.4,17.8,462.4,15.3,54,1005.7,1868.4,390.6,0.52,86.4,0.75,137.6
STN002,Europe,2006,9/10/2006,42.6,19.7,1057.1,5.7,47,1009.2,1085.9,381.5,0.77,80.7,0.77,205.38
STN002,Europe,2006,1/3/2006,44.6,17.7,761.2,10.1,52.7,1008.2,1735.2,388.2,0.57,92.7,0.73,5.56
STN003,Asia,2006,10/5/2006,21.4,18.9,828.5,10,52.4,993,2058.6,408,0.89,98.2,0.94,33.83
STN004,Africa,2006,9/10/2006,32.3,5.8,892.9,13.6,41.7,1001.2,1788.5,388.5,0.66,99.4,0.95,18.97
STN004,Africa,2006,12/5/2006,44.5,18.3,800.8,19.9,56.2,988.2,2429,407.2,0.89,84.4,0.91,216.92
STN001,North America,2006,9/10/2006,24.6,13,399.3,10.4,72.9,995.2,1952.5,400.8,0.65,90.5,0.91,130.6
STN003,Asia,2006,4/9/2006,33.2,13.8,924.3,17.4,75.7,995.2,1208.5,394.9,0.59,95.4,0.89,136.96
STN001,North America,2006,2/12/2006,34.5,20,334,12.6,43.3,1000.6,2307.1,392.2,0.5,82.9,0.87,92.85
STN003,Asia,2006,2/12/2006,31.1,17,775.4,6,69.8,1018.3,1464.6,392.2,0.8,85.8,0.73,19.77
STN003,Asia,2006,2/10/2006,33.8,13.7,434.5,18.8,42.8,1014.6,1481,411.9,0.68,84.8,0.89,48.96
STN001,North America,2006,3/7/2006,36,16.5,212.8,13.7,42.1,998.5,1631.5,403.4,0.77,80.1,0.7,55.87
STN003,Asia,2006,9/8/2006,25.5,11.1,896.4,19.8,56.7,995.1,2454.4,402.7,0.8,98.9,0.91,35.49
STN004,Africa,2006,9/8/2006,20.7,14.2,815.4,6.8,43.5,981.9,2019.3,390,0.68,90.2,0.96,212.26
STN004,Africa,2007,11/4/2007,44.5,18.3,800.8,19.9,56.2,988.2,2429,407.2,0.89,84.4,0.91,73.43
STN004,Africa,2007,2/12/2006,30.5,5.1,436.5,11.3,75.7,1019.4,1693.8,397.3,0.65,82.2,0.74,175.57
STN001,North America,2007,8/8/2007,42.1,15.5,616.4,14.4,66.9,990.5,1764.8,416.1,0.58,86.2,0.73,55.63
STN002,Europe,2007,8/8/2007,28.9,19.8,506.1,15.8,71.9,1022.5,1811.7,404.4,0.91,89.8,0.85,188.55
STN002,Europe,2007,5/4/2007,23.3,18.4,499.7,11.5,43.1,980.1,1376.7,389.2,0.75,97.9,0.73,116.11
STN003,Asia,2007,8/8/2007,40,18.4,588.3,13.5,60.1,1021.6,1347.1,419.1,0.72,80.5,0.98,22
STN004,Africa,2007,4/9/2007,39.4,5.4,302.7,6.2,65,1028.5,2327.8,405.8,0.8,81.3,0.86,45.67
STN002,Europe,2007,4/9/2007,43.5,14.6,840.9,8.9,72.7,1010.1,1640.3,384.6,0.55,83.7,0.97,161.92
STN002,Europe,2007,2/9/2007,34.2,20.2,1196.4,5.7,69.3,1008,1606,389,0.97,96.2,0.89,70.71
STN001,North America,2007,1/12/2007,22.7,21,570.4,19.8,40.4,992.5,1743.6,402.3,0.97,82.4,0.9,248.7
STN003,Asia,2007,4/9/2007,43.7,9.7,609.4,17.1,50.1,993.9,2192.8,387.9,0.52,87.3,0.89,246.26
STN001,North America,2007,4/9/2007,24.6,13,399.3,10.4,72.9,995.2,1952.5,400.8,0.65,90.5,0.91,94.06
STN002,Europe,2007,4/9/2007,28.9,19.8,506.1,15.8,71.9,1022.5,1811.7,404.4,0.91,89.8,0.85,225.36
STN004,Africa,2007,8/9/2007,32.9,16.1,545.1,12,46.2,992.3,1531.3,414.2,0.6,84.8,0.85,125.21
STN003,Asia,2007,9/1/2007,32.3,22.8,759.6,9.9,57.2,993.4,1172.2,388.3,0.98,88.3,0.86,197.79
STN003,Asia,2007,8/4/2007,43.7,9.7,609.4,17.1,50.1,993.9,2192.8,387.9,0.52,87.3,0.89,69.1
STN004,Africa,2007,10/11/2007,32.2,6.4,881.8,19.6,56.4,1007.3,1963.2,406.6,0.95,82.2,0.97,40.59
STN001,North America,2007,11/5/2007,22.7,21,570.4,19.8,40.4,992.5,1743.6,402.3,0.97,82.4,0.9,74.94
STN004,Africa,2007,11/5/2007,32.3,5.8,892.9,13.6,41.7,1001.2,1788.5,388.5,0.66,99.4,0.95,204.96
STN002,Europe,2007,11/5/2007,28.4,16.3,693.7,20,50.7,1019.2,2134,415.2,0.58,86.5,0.95,51.92
STN004,Africa,2007,2/12/2007,44.6,16.4,380.7,8.3,72.2,1004.3,1015.5,413.5,0.68,86,0.81,78.81
STN004,Africa,2007,11/5/2007,34.8,14,363.3,10.8,74.4,1015.3,1468.1,411,0.56,94.6,0.75,84.2
STN001,North America,2007,10/10/2007,43.1,20.5,582.8,15.7,46.6,992.3,1371,398.5,0.54,81,0.97,83.18
STN001,North America,2007,8/8/2007,20.1,6.3,486.4,11.4,75.1,991.4,2206.1,403.6,0.56,96.1,0.89,95.97
STN001,North America,2007,2/2/2007,36.5,24.7,354.4,13.2,47.5,991.9,1266.3,386.3,0.81,80.6,0.8,64.45
STN001,North America,2007,8/8/2007,24.6,13,399.3,10.4,72.9,995.2,1952.5,400.8,0.65,90.5,0.91,168.72
STN003,Asia,2007,7/3/2007,32.3,22.8,759.6,9.9,57.2,993.4,1172.2,388.3,0.98,88.3,0.86,85.34
STN001,North America,2007,1/10/2007,42.8,17.4,1140.4,10.2,59.5,1020.4,2132.9,397.1,0.8,97.7,0.71,249.57
STN004,Africa,2007,8/8/2007,39.1,16,1157,5.1,42.6,991.5,1503.3,393.1,0.76,95.1,0.87,68.58
STN001,North America,2007,10/10/2007,42.8,17.4,1140.4,10.2,59.5,1020.4,2132.9,397.1,0.8,97.7,0.71,7.08
STN004,Africa,2007,7/12/2007,38.1,11.5,399.5,19.4,57.2,1019.2,1874.7,414.3,0.72,90.8,0.93,155.81
STN003,Asia,2007,10/10/2007,23.6,11.2,749.7,16.4,53.1,984.7,1950.4,384,0.84,97.9,0.97,106.2
STN002,Europe,2007,10/10/2007,30.5,22.1,912.7,18.1,53.5,998.1,1032.2,383.7,0.54,95.2,0.71,147.51
STN004,Africa,2007,8/12/2007,30.3,15,563,16.5,45.7,989.8,1507.8,418.2,0.59,89.9,0.75,167.68
STN001,North America,2007,1/9/2007,33.9,16.5,207.4,8.5,74.8,987,1580.5,397.4,0.53,98.6,0.97,62.16
STN001,North America,2007,8/12/2007,20.7,6.5,764.5,13.9,75,1028.6,1963.7,391.6,0.64,85.7,0.78,4.48
STN004,Africa,2007,1/9/2007,39.4,5.4,302.7,6.2,65,1028.5,2327.8,405.8,0.8,81.3,0.86,9.93
STN003,Asia,2007,8/12/2007,20.6,14,363.2,7.8,73.5,995.1,1406.1,402,0.57,92.2,0.99,25.57
STN004,Africa,2007,9/9/2007,34.6,10.9,224.2,14.7,50.6,1005.8,2341.4,396,0.9,90.1,0.82,57.14
STN001,North America,2007,9/3/2007,20.1,6.3,486.4,11.4,75.1,991.4,2206.1,403.6,0.56,96.1,0.89,201.49
STN002,Europe,2007,10/4/2007,39.5,6.5,291.3,11.2,79.9,986.3,1419.7,386.1,0.76,88.6,0.82,39.19
STN002,Europe,2007,1/7/2007,36.9,17.5,1028.6,9.9,78.3,987.6,1821.5,399,0.95,86.8,0.77,3.78
STN003,Asia,2007,12/1/2007,31.1,17,775.4,6,69.8,1018.3,1464.6,392.2,0.8,85.8,0.73,72.94
STN003,Asia,2007,7/10/2007,24.7,11.1,958.8,18.3,47.8,1007.8,1031.1,382.3,0.98,92.7,0.8,124.35
STN002,Europe,2007,7/10/2007,40.1,21.9,241.6,9.5,53,996.6,2212.3,387.3,0.85,89.4,0.88,160.55
STN003,Asia,2007,4/12/2007,31.1,17,775.4,6,69.8,1018.3,1464.6,392.2,0.8,85.8,0.73,99.83
STN002,Europe,2007,12/1/2007,44.5,18.7,868.2,9.5,44.8,1007.7,1848.4,419.8,0.64,85,0.87,37.84
STN003,Asia,2007,6/12/2007,41.4,17.8,462.4,15.3,54,1005.7,1868.4,390.6,0.52,86.4,0.75,175.17
STN003,Asia,2007,12/1/2007,33.8,13.7,434.5,18.8,42.8,1014.6,1481,411.9,0.68,84.8,0.89,125.63
STN002,Europe,2007,12/1/2007,30.5,22.1,912.7,18.1,53.5,998.1,1032.2,383.7,0.54,95.2,0.71,151.48
STN004,Africa,2007,8/4/2007,34.6,10.9,224.2,14.7,50.6,1005.8,2341.4,396,0.9,90.1,0.82,183.54
STN002,Europe,2008,8/4/2007,36.9,17.5,1028.6,9.9,78.3,987.6,1821.5,399,0.95,86.8,0.77,57.37
STN002,Europe,2008,10/3/2008,41.8,20.9,277,10.5,61.1,988.3,1296.4,403.1,0.89,85,0.9,51.04
STN001,North America,2008,4/3/2008,43.1,20.5,582.8,15.7,46.6,992.3,1371,398.5,0.54,81,0.97,207.33
STN003,Asia,2008,10/3/2008,20.6,14,363.2,7.8,73.5,995.1,1406.1,402,0.57,92.2,0.99,187.57
STN001,North America,2008,4/3/2008,42.1,15.5,616.4,14.4,66.9,990.5,1764.8,416.1,0.58,86.2,0.73,192.14
STN003,Asia,2008,10/3/2008,34.4,23.2,404,7.3,73.9,1021.9,2220.1,391.5,0.87,86.6,0.89,20.48
STN003,Asia,2008,4/3/2008,31.1,17,775.4,6,69.8,1018.3,1464.6,392.2,0.8,85.8,0.73,137.34
STN001,North America,2008,10/3/2008,20.7,6.5,764.5,13.9,75,1028.6,1963.7,391.6,0.64,85.7,0.78,56.96
STN003,Asia,2008,4/3/2008,32.3,22.8,759.6,9.9,57.2,993.4,1172.2,388.3,0.98,88.3,0.86,203.8
STN001,North America,2008,5/4/2008,30.8,10.3,327.1,17.8,48.8,999.4,1241.2,393.6,0.73,98.2,0.78,28.95
STN004,Africa,2008,2/3/2008,30.5,5.1,436.5,11.3,75.7,1019.4,1693.8,397.3,0.65,82.2,0.74,230.48
STN003,Asia,2008,5/8/2008,24.8,13.6,1008.1,17.9,74.4,1000.6,1021.1,411,0.6,88.2,0.95,2.21
STN001,North America,2008,4/3/2008,20.7,6.5,764.5,13.9,75,1028.6,1963.7,391.6,0.64,85.7,0.78,100.03
STN004,Africa,2008,5/8/2008,39.4,5.4,302.7,6.2,65,1028.5,2327.8,405.8,0.8,81.3,0.86,5.67
STN004,Africa,2008,5/8/2008,30.1,16.2,1174.8,10.5,47.3,1019.9,1272.3,405.5,0.9,97.4,0.8,149.19
STN002,Europe,2008,10/6/2008,43.5,14.6,840.9,8.9,72.7,1010.1,1640.3,384.6,0.55,83.7,0.97,204.48
STN002,Europe,2008,10/6/2008,30.5,22.1,912.7,18.1,53.5,998.1,1032.2,383.7,0.54,95.2,0.71,55.94
STN002,Europe,2008,12/1/2008,41.8,20.9,277,10.5,61.1,988.3,1296.4,403.1,0.89,85,0.9,20.43
STN002,Europe,2008,12/1/2008,20.2,12.5,1006,19.8,52,991.2,1875.2,386.7,0.98,92.5,0.89,35.66
STN001,North America,2008,10/6/2008,42.1,15.5,616.4,14.4,66.9,990.5,1764.8,416.1,0.58,86.2,0.73,222.78
STN001,North America,2008,2/3/2008,38.2,24.9,855.2,10.3,75.1,1000,1616.4,392.3,0.69,97.3,0.81,147.61
STN003,Asia,2008,3/8/2008,43.7,9.7,609.4,17.1,50.1,993.9,2192.8,387.9,0.52,87.3,0.89,243.53
STN004,Africa,2008,3/8/2008,38.1,11.5,399.5,19.4,57.2,1019.2,1874.7,414.3,0.72,90.8,0.93,69.86
STN002,Europe,2008,10/11/2008,34.2,20.2,1196.4,5.7,69.3,1008,1606,389,0.97,96.2,0.89,151.08
STN004,Africa,2008,6/12/2008,34.6,10.9,224.2,14.7,50.6,1005.8,2341.4,396,0.9,90.1,0.82,89
STN004,Africa,2008,5/3/2008,32.8,9.3,377.1,6.8,68.9,996.8,1137.3,389.5,0.93,92.8,0.76,172.69
STN004,Africa,2008,5/3/2008,34.3,6.3,707.8,16.7,68.6,1004.4,1522.9,397.5,0.76,97.2,0.9,207.08
STN003,Asia,2008,5/3/2008,23.3,6.8,865,7,63.1,992.1,1686.1,397.5,0.65,86.3,0.98,142.85
STN003,Asia,2008,5/3/2008,20.6,14,363.2,7.8,73.5,995.1,1406.1,402,0.57,92.2,0.99,70.65
STN003,Asia,2008,5/3/2008,24.8,13.6,1008.1,17.9,74.4,1000.6,1021.1,411,0.6,88.2,0.95,95.47
STN004,Africa,2008,5/3/2008,39.1,16,1157,5.1,42.6,991.5,1503.3,393.1,0.76,95.1,0.87,67.37
STN004,Africa,2008,5/3/2008,30.7,17.8,800.1,10.8,40.5,985.8,1991.6,397.5,0.96,86.5,0.77,107.1
STN001,North America,2008,5/3/2008,20.1,6.3,486.4,11.4,75.1,991.4,2206.1,403.6,0.56,96.1,0.89,96.38
STN001,North America,2008,5/3/2008,38.2,24.9,855.2,10.3,75.1,1000,1616.4,392.3,0.69,97.3,0.81,192.91
STN002,Europe,2008,5/3/2008,41.8,20.9,277,10.5,61.1,988.3,1296.4,403.1,0.89,85,0.9,147.67
STN001,North America,2008,5/3/2008,34.5,20,334,12.6,43.3,1000.6,2307.1,392.2,0.5,82.9,0.87,206.28
STN002,Europe,2008,4/6/2008,24.3,5.6,604.3,19.6,52.7,1012.2,1038,384.4,0.59,90.2,0.75,242.95
STN001,North America,2008,4/6/2008,30.9,22.9,479.1,13.5,58.8,1001,1347.9,399.5,0.63,84.6,0.88,211.47
STN003,Asia,2008,7/8/2008,27.1,7.5,625.8,12.8,44.8,997.4,1696.9,393.1,0.85,99.7,0.76,178.54
STN003,Asia,2008,4/6/2008,20.6,14,363.2,7.8,73.5,995.1,1406.1,402,0.57,92.2,0.99,110.94
STN002,Europe,2008,4/6/2008,23,12.2,711,17.7,70.2,1018.5,2240,418.6,0.61,91.2,0.77,45.53
STN001,North America,2008,4/6/2008,42.8,17.4,1140.4,10.2,59.5,1020.4,2132.9,397.1,0.8,97.7,0.71,97.15
STN002,Europe,2008,5/7/2008,26.8,9,707.8,7.4,69.6,995.1,1371.7,393.7,0.83,88.5,0.7,223.32
STN004,Africa,2008,8/6/2008,40,14.1,1063.2,12.1,55.5,1011.6,1806.9,393.2,0.59,83.2,0.97,62.71
STN001,North America,2008,1/5/2008,37.8,14.9,829.1,12.4,79.1,998.8,1992.4,389,0.89,93.4,0.78,84.7
STN004,Africa,2008,11/9/2008,37,24,294.9,12.4,62.6,980.9,2158.9,395.2,0.86,84.8,0.92,90.98
STN003,Asia,2008,8/8/2008,27.1,7.5,625.8,12.8,44.8,997.4,1696.9,393.1,0.85,99.7,0.76,120.4
STN003,Asia,2008,8/6/2008,32.3,22.8,759.6,9.9,57.2,993.4,1172.2,388.3,0.98,88.3,0.86,219.89
STN002,Europe,2008,8/6/2008,26.8,9,707.8,7.4,69.6,995.1,1371.7,393.7,0.83,88.5,0.7,202.1
STN003,Asia,2008,11/3/2008,32.9,19.6,360.3,12.8,70.7,1019.8,2253.3,403.8,0.51,82.4,0.9,2.49
STN003,Asia,2009,11/3/2009,43.7,9.7,609.4,17.1,50.1,993.9,2192.8,387.9,0.52,87.3,0.89,63.55
STN003,Asia,2009,8/2/2009,25.5,11.1,896.4,19.8,56.7,995.1,2454.4,402.7,0.8,98.9,0.91,2.82
STN001,North America,2009,11/3/2009,20.7,6.5,764.5,13.9,75,1028.6,1963.7,391.6,0.64,85.7,0.78,57.4
STN003,Asia,2009,7/1/2009,23.6,11.2,749.7,16.4,53.1,984.7,1950.4,384,0.84,97.9,0.97,57.17
STN003,Asia,2009,5/1/2009,41.4,17.8,462.4,15.3,54,1005.7,1868.4,390.6,0.52,86.4,0.75,46.97
STN004,Africa,2009,11/2/2009,44.6,16.4,380.7,8.3,72.2,1004.3,1015.5,413.5,0.68,86,0.81,6.13
STN002,Europe,2009,5/1/2009,29.2,19.4,972.6,14.2,43.3,1029.7,2415.2,418.1,0.6,94.1,0.92,221.07
STN001,North America,2009,5/1/2009,38,19.8,456.7,17.5,64.3,1023.1,1241.7,400.5,0.69,99.2,0.9,142.73
STN002,Europe,2009,8/3/2009,23.3,18.4,499.7,11.5,43.1,980.1,1376.7,389.2,0.75,97.9,0.73,90.9
STN003,Asia,2009,8/11/2009,32.3,22.8,759.6,9.9,57.2,993.4,1172.2,388.3,0.98,88.3,0.86,227.66
